Cell,Path 1,Path 2,Path 3
H1,0.879 (30),0.849 (30),0.833 (30)
H10,0.861 (30),0.813 (30),0.828 (30)
H11,0.84 (30),0.79 (30),0.858 (30)
H2,0.838 (30),0.851 (30),0.83 (30)
H3,0.842 (30),0.781 (30),0.835 (30)
H4,0.594 (30),0.626 (30),0.583 (30)
H5,0.677 (30),0.633 (30),0.673 (30)
H6,0.8 (30),0.747 (30),0.794 (30)
H7,0.708 (30),0.705 (30),0.722 (30)
H8,0.839 (30),0.786 (30),0.808 (30)
H9,0.871 (30),0.831 (30),0.882 (30)
M1,0.542 (30),0.545 (30),0.55 (30)
M2,0.762 (30),0.793 (30),0.809 (30)
M3,0.848 (30),0.848 (30),0.827 (30)
M4,0.831 (30),0.803 (30),0.82 (30)
M5,0.787 (30),0.678 (30),0.728 (30)
M6,0.861 (30),0.871 (30),0.878 (30)
N1,0.205 (29),0.288 (27),0.229 (28)
N2,0.4 (30),0.426 (29),0.376 (30)
N3,0.474 (30),0.433 (30),0.436 (30)
