cell_id,both_agree_valid,both_agree_invalid,false_closure_candidate,metric_false_negative,structural_NA,n_rows,false_closure_pct,metric_fn_pct
H1,57,12,3,17,0,89,3.4,19.1
H10,42,16,4,13,0,75,5.3,17.3
H11,46,12,3,14,0,75,4.0,18.7
H2,40,13,5,14,3,75,6.7,18.7
H3,42,8,5,10,10,75,6.7,13.3
H4,30,22,3,19,1,75,4.0,25.3
H5,47,9,3,16,0,75,4.0,21.3
H6,41,11,4,19,0,75,5.3,25.3
H7,42,13,2,16,2,75,2.7,21.3
H8,43,13,2,16,1,75,2.7,21.3
H9,46,10,1,18,0,75,1.3,24.0
M1,45,53,10,39,3,150,6.7,26.0
M2,71,30,8,34,7,150,5.3,22.7
M3,90,27,4,26,3,150,2.7,17.3
M4,87,29,6,21,7,150,4.0,14.0
M5,69,43,8,22,8,150,5.3,14.7
M6,86,23,7,30,4,150,4.7,20.0
N1,7,55,2,10,1,75,2.7,13.3
N2,47,9,3,16,0,75,4.0,21.3
N3,0,0,0,0,75,75,0.0,0.0
