Cell A,Cell B,$\Delta$ mean,$p_{\text{adj}}$,Sig
H1,H4,-0.253,$<0.001$,***
H9,M1,-0.316,$<0.001$,***
H8,N3,-0.363,$<0.001$,***
H8,N2,-0.41,$<0.001$,***
H8,N1,-0.571,$<0.001$,***
H8,M1,-0.265,$<0.001$,***
H7,N3,-0.264,$<0.001$,***
H7,N2,-0.311,$<0.001$,***
H7,N1,-0.472,$<0.001$,***
H7,M6,0.158,$<0.001$,***
H7,M4,0.106,$<0.001$,***
H7,M3,0.13,$<0.001$,***
H9,M5,-0.13,$<0.001$,***
H7,M1,-0.166,$<0.001$,***
H6,N3,-0.333,$<0.001$,***
H6,N2,-0.38,$<0.001$,***
H6,N1,-0.54,$<0.001$,***
H6,M1,-0.234,$<0.001$,***
H5,N3,-0.213,$<0.001$,***
H5,N2,-0.261,$<0.001$,***
H5,N1,-0.421,$<0.001$,***
H5,M6,0.209,$<0.001$,***
N1,N2,0.16,$<0.001$,***
H5,M4,0.157,$<0.001$,***
H5,M3,0.18,$<0.001$,***
